Country,Year,GDP per capita,Country ISO,Continent
Afghanistan,1990,338.6319857954687,AFG,Asia
Afghanistan,1995,197.10806662487542,AFG,Asia
Afghanistan,2000,180.72315429683877,AFG,Asia
Afghanistan,2005,265.24637142780045,AFG,Asia
Afghanistan,2010,537.2382360218157,AFG,Asia
Afghanistan,2015,554.0040072260498,AFG,Asia
Afghanistan,2020,512.7499301864844,AFG,Asia
Albania,1990,651.2012838244974,ALB,Europe
Albania,1995,728.5321867731285,ALB,Europe
Albania,2000,1096.0286880634446,ALB,Europe
Albania,2005,2655.1437840817584,ALB,Europe
Albania,2010,4093.825900412989,ALB,Europe
Albania,2015,3950.390255039412,ALB,Europe
Albania,2020,5288.989573038817,ALB,Europe
Algeria,1990,2419.907394140262,DZA,Africa
Algeria,1995,1473.8203524065664,DZA,Africa
Algeria,2000,1776.3629601357227,DZA,Africa
Algeria,2005,3131.3282998788754,DZA,Africa
Algeria,2010,4495.921455483428,DZA,Africa
Algeria,2015,4197.417286292595,DZA,Africa
Algeria,2020,3354.1573025467633,DZA,Africa
Andorra,1990,24305.217276603602,AND,Europe
Andorra,1995,23701.627069630562,AND,Europe
Andorra,2000,21620.416387961235,AND,Europe
Andorra,2005,39583.98600052164,AND,Europe
Andorra,2010,48190.9087284289,AND,Europe
Andorra,2015,38869.87077665994,AND,Europe
Andorra,2020,37207.17563596214,AND,Europe
Angola,1990,1155.728995434284,AGO,Africa
Angola,1995,477.4373432450317,AGO,Africa
Angola,2000,744.6204957052756,AGO,Africa
Angola,2005,1900.722636795008,AGO,Africa
Angola,2010,3586.663901601696,AGO,Africa
Angola,2015,4130.930080226787,AGO,Africa
Angola,2020,1639.9510225205042,AGO,Africa
Anguilla,1990,9091.120775657811,AIA,Latin America and the Caribbean
Anguilla,1995,10804.757259081807,AIA,Latin America and the Caribbean
Anguilla,2000,13599.871827109086,AIA,Latin America and the Caribbean
Anguilla,2005,18881.46013510212,AIA,Latin America and the Caribbean
Anguilla,2010,20325.822001777058,AIA,Latin America and the Caribbean
Anguilla,2015,22756.2807675145,AIA,Latin America and the Caribbean
Anguilla,2020,16582.659014484485,AIA,Latin America and the Caribbean
Antigua and Barbuda,1990,7255.406303220855,ATG,Latin America and the Caribbean
Antigua and Barbuda,1995,8440.034525592582,ATG,Latin America and the Caribbean
Antigua and Barbuda,2000,10443.501925748278,ATG,Latin America and the Caribbean
Antigua and Barbuda,2005,12708.077996237356,ATG,Latin America and the Caribbean
Antigua and Barbuda,2010,13404.516016103624,ATG,Latin America and the Caribbean
Antigua and Barbuda,2015,14861.88270747037,ATG,Latin America and the Caribbean
Antigua and Barbuda,2020,15303.278111920086,ATG,Latin America and the Caribbean
Argentina,1990,4693.52696495265,ARG,Latin America and the Caribbean
Argentina,1995,8003.792850515918,ARG,Latin America and the Caribbean
Argentina,2000,8312.430527259381,ARG,Latin America and the Caribbean
Argentina,2005,5134.876717786833,ARG,Latin America and the Caribbean
Argentina,2010,10376.792178322257,ARG,Latin America and the Caribbean
Argentina,2015,14908.621296858575,ARG,Latin America and the Caribbean
Argentina,2020,8565.153125826326,ARG,Latin America and the Caribbean
Armenia,1990,647.1799307580154,ARM,Asia
Armenia,1995,412.9362183543999,ARM,Asia
Armenia,2000,643.3706818043771,ARM,Asia
Armenia,2005,1714.9819376258772,ARM,Asia
Armenia,2010,3351.7975907640157,ARM,Asia
Armenia,2015,3666.1418253608217,ARM,Asia
Armenia,2020,4505.867745526379,ARM,Asia
Aruba,1990,13023.500201658702,ABW,Latin America and the Caribbean
Aruba,1995,17961.48857123177,ABW,Latin America and the Caribbean
Aruba,2000,21026.16709090224,ABW,Latin America and the Caribbean
Aruba,2005,24978.215761317235,ABW,Latin America and the Caribbean
Aruba,2010,24452.594307044266,ABW,Latin America and the Caribbean
Aruba,2015,28419.24310053964,ABW,Latin America and the Caribbean
Aruba,2020,24008.127822025748,ABW,Latin America and the Caribbean
Australia,1990,19017.001336214256,AUS,Oceania
Australia,1995,21780.25455562123,AUS,Oceania
Australia,2000,21565.36570214372,AUS,Oceania
Australia,2005,37842.50732745457,AUS,Oceania
Australia,2010,59099.61139370469,AUS,Oceania
Australia,2015,52321.0035433425,AUS,Oceania
Australia,2020,56001.55306410771,AUS,Oceania
Austria,1990,21679.0846309519,AUT,Europe
Austria,1995,30331.630403007937,AUT,Europe
Austria,2000,24567.929177726503,AUT,Europe
Austria,2005,38405.88962163705,AUT,Europe
Austria,2010,46861.26507485564,AUT,Europe
Austria,2015,44179.46844912713,AUT,Europe
Austria,2020,48839.26898436463,AUT,Europe
Azerbaijan,1990,877.5097058434292,AZE,Asia
Azerbaijan,1995,390.50238880883813,AZE,Asia
Azerbaijan,2000,643.7607141250933,AZE,Asia
Azerbaijan,2005,1530.159338386188,AZE,Asia
Azerbaijan,2010,5727.491818270756,AZE,Asia
Azerbaijan,2015,5381.087076214852,AZE,Asia
Azerbaijan,2020,4151.016373340039,AZE,Asia
Bahamas,1990,17613.267697161584,BHS,Latin America and the Caribbean
Bahamas,1995,17240.993002931024,BHS,Latin America and the Caribbean
Bahamas,2000,24849.698782206306,BHS,Latin America and the Caribbean
Bahamas,2005,28280.870835298043,BHS,Latin America and the Caribbean
Bahamas,2010,27046.764825649927,BHS,Latin America and the Caribbean
Bahamas,2015,29821.354970880857,BHS,Latin America and the Caribbean
Bahamas,2020,23998.168238324506,BHS,Latin America and the Caribbean
Bahrain,1990,9487.745468024823,BHR,Asia
